namsefni	description			 Hér er gefið yfirlit yfir námsefni sem snýr að stafrænum hugvísindum. Námsefnið spannar breitt svið, allt frá því að byrja að forrita á Python yfir í hvernig skal meðhöndla gögn á réttan hátt. Sumt efnið er í formi netnáms en annað kennsluefni sem sem kennarar hafa notað í eigin námskeiðum og deilt á opnum varðveislusvæðum. Enn sem komið er þá er allt námsefnið á ensku. CLARIN og DARIAH halda úti skrá yfir öll þau námskeið og námsleiðir sem eru í boði í Evrópu á sviði stafrænna hugvísinda. 	<p>Hér er gefið yfirlit yfir námsefni sem snýr að stafrænum hugvísindum. Námsefnið spannar breitt svið, allt frá því að byrja að forrita á Python yfir í hvernig skal meðhöndla gögn á réttan hátt. Sumt efnið er í formi netnáms en annað kennsluefni sem sem kennarar hafa notað í eigin námskeiðum og deilt á opnum varðveislusvæðum. Enn sem komið er þá er allt námsefnið á ensku. CLARIN og DARIAH halda úti skrá yfir öll þau <a href='https://dhcr.clarin-dariah.eu/' target='_blank'>námskeið og námsleiðir</a> sem eru í boði í Evrópu á sviði stafrænna hugvísinda.</p>	<p></p>
namsefni	categories	description	Teaching marterial online	 Á vefsíðu CLARIN-ERIC er að finna upplýsingar um námsefni sem er aðgengilegt á netinu og hægt að nota annað hvort til sjálfsnáms eða í námskrám skólas. Eru þau helstu (og eingöngu þau sem eru á ensku) talin upp hér að neðan. 	<p>Á <a href='https://www.clarin.eu/content/learning-and-training-resources' target='_blank'>vefsíðu CLARIN-ERIC</a> er að finna upplýsingar um námsefni sem er aðgengilegt á netinu og hægt að nota annað hvort til sjálfsnáms eða í námskrám skólas. Eru þau helstu (og eingöngu þau sem eru á ensku) talin upp hér að neðan.</p>	<p></p>
namsefni	categories	items	Applied Language Technology	 Námsefni úr tveimur námskeiðum sem kennd eru við Háskólann í Helsinki: Að vinna með texta í Python og Málvinnsla fyrir málfræðinga . 	<p>Námsefni úr tveimur námskeiðum sem kennd eru við Háskólann í Helsinki: <i>Að vinna með texta í Python</i> og <i>Málvinnsla fyrir málfræðinga</i>.</p>	<p>Teaching material from two courses taught at the University of Helsinki: <i>Working with Text in Python</i> and <i>Natural Language Processing for Linguists</i>.</p>
namsefni	categories	items	CLARIN Tools and Resources for Lexicographic Work	 Námskeiðið kynnir CLARIN-rannsóknarinnviðinn fyrir orðabókafræðingum og ræðir um málgögn og verkfæri sem nýtast innan orðabókafræða. 	<p>Námskeiðið kynnir CLARIN-rannsóknarinnviðinn fyrir orðabókafræðingum og ræðir um málgögn og verkfæri sem nýtast innan orðabókafræða.</p>	<p>This course introduces lexicographers to the CLARIN Research Infrastructure and highlights language resources and tools useful for lexicographic practices.</p>
namsefni	categories	items	FAIR-by-Design Training for the CLARIN Community	 Þetta námskeið veitir þjálfun í að ganga frá kennsluefni þannig að það sé 'FAIR', þ.e. finnanlegt, aðgengilegt, gagnvirkt og endurnýtanlegt. 	<p>Þetta námskeið veitir þjálfun í að ganga frá kennsluefni þannig að það sé 'FAIR', þ.e. finnanlegt, aðgengilegt, gagnvirkt og endurnýtanlegt.</p>	<p>This course offers training in ensuring that learning material is FAIR (Findable, Accessible, Interoperable, and Reusable). </p>
namsefni	categories	items	Introduction to Programming for NLP with Python	 Netnámskeið sem veitir grunnþekkingu og færni í textavinnslu og greiningu töfluupplýsinga sem tengjast málvísindum og tungumálarannsóknum. 	<p>Netnámskeið sem veitir grunnþekkingu og færni í textavinnslu og greiningu töfluupplýsinga sem tengjast málvísindum og tungumálarannsóknum.</p>	<p>This online course offers basic programming knowledge and skills for text processing and analysing tabular data related to linguistics and language studies.</p>
namsefni	categories	items	Introduction to Speech Analysis	 Þetta námskeið fjallar á almennan hátt um umsýslu talmálheilda og aðferðir sem eru tiltækar til hljóðfræðilegra rannsókna á tali. 	<p>Þetta námskeið fjallar á almennan hátt um umsýslu talmálheilda og aðferðir sem eru tiltækar til hljóðfræðilegra rannsókna á tali.</p>	<p>This course offers a general picture of managing speech corpora and of methods that are available for the acoustic-phonetic study of speech.</p>
namsefni	categories	items	Manage, Improve and Open up your Research and Data	 Fjallað er um helstu aðferðir hvað varðar gagnaumsýslu, gæðamati og hugverkaréttindi. 	<p>Fjallað er um helstu aðferðir hvað varðar gagnaumsýslu, gæðamati og hugverkaréttindi.</p>	<p>This module will look at emerging trends and best practice in data management, quality assessment and IPR issues.</p>
namsefni	categories	items	Voices of the Parliament: A Corpus Approach to Parliamentary Discourse Research	 Sýnt er hvernig skoða má málheildir sem innihalda alþingisræður með hjálp orðstöðulykla, án nokkurrar forritunarkunnáttu. 	<p>Sýnt er hvernig skoða má málheildir sem innihalda alþingisræður með hjálp orðstöðulykla, án nokkurrar forritunarkunnáttu.</p>	<p>The tutorial demonstrates the potential of parliamentary corpora research via concordancers without the need for programming skills. </p>
namsefni	categories	items	What's on the agenda? Topic modelling parliamentary debates before and during the COVID-19 pandemic	 Meginmarkmið þessa námskeiðs að kynna grunnhugtök textanámuvinnslu fyrir byrjendum í stafrænum hugvísindum með því að beita Latent Dirichlet Allocation (LDA) efnissviðsgreiningu (e. topic modelling) fyrir tiltekið notkunartilfelli. 	<p>Meginmarkmið þessa námskeiðs að kynna grunnhugtök textanámuvinnslu fyrir byrjendum í stafrænum hugvísindum með því að beita Latent Dirichlet Allocation (LDA) efnissviðsgreiningu (e. topic modelling) fyrir tiltekið notkunartilfelli.</p>	<p>The main goal of this tutorial is to introduce basic text mining concepts to digital humanities beginners by applying the Latent Dirichlet Allocation (LDA) topic modelling to a specific use case.</p>
namsefni	categories	description	Teaching material for downlowad	 Á vefsíðu CLARIN-ERIC er einnig að finna upplýsingar um námsefni sem hefur verið þróuð innan ramma t.d. sumarskóla, háskólanáms, viðburða eða Evrópuverkefna og deilt á opnum varðveislusvæðum og þannig gert aðgengilegt öðrum til nota. 	<p>Á <a href='https://www.clarin.eu/content/learning-and-training-resources' target='_blank'>vefsíðu CLARIN-ERIC</a> er einnig að finna upplýsingar um námsefni sem hefur verið þróuð innan ramma t.d. sumarskóla, háskólanáms, viðburða eða Evrópuverkefna og deilt á opnum varðveislusvæðum og þannig gert aðgengilegt öðrum til nota.</p>	<p></p>
