malbankinnTitle				Íslenski málbankinn	Íslenski málbankinn	The Icelandic Language Bank
homeInfoTitle				Hagnýtar upplýsingar um máltækni og stafræn hugvísindi	Hagnýtar upplýsingar um máltækni og stafræn hugvísindi	
homeResourcesForHumanitiesTitle				Gögn og verkfæri til ­rann­sókna	Gögn og verkfæri til ­rann­sókna	
homeResourcesForHumanitiesContent				Málbankinn hefur að geyma ýmsar málheildir sem bjóða upp á rannsóknir á sviði hug- og félagsvísinda auk verkfæra til að leita í málheildum eða til að forvinna hráan texta.	Málbankinn hefur að geyma ýmsar málheildir sem bjóða upp á rannsóknir á sviði hug- og félagsvísinda auk verkfæra til að leita í málheildum eða til að forvinna hráan texta.	
homePracticalLTSolutionsTitle				Hagnýtar mál­tækni­lausn­ir	Hagnýtar mál­tækni­lausn­ir	Practical language technology solutions
homePracticalLTSolutionsContent				Í Málbankanum er að finna fjöldann allan af gagnasöfnum, líkönum og verkfærum sem tengjast máltækni: upptökur fyrir gerð talgreina og talgervla, málheildir til að þjálfa þýðingarvél eða málrýni, ýmis líkön sem þegar hafa verið þjálfuð auk ýmissa verkfæra sem flýta fyrir við gerð máltæknilausna.	Í Málbankanum er að finna fjöldann allan af gagnasöfnum, líkönum og verkfærum sem tengjast máltækni: upptökur fyrir gerð talgreina og talgervla, málheildir til að þjálfa þýðingarvél eða málrýni, ýmis líkön sem þegar hafa verið þjálfuð auk ýmissa verkfæra sem flýta fyrir við gerð máltæknilausna.	
homeResearchToolsTitle				Verkfæri til rannsókna	Verkfæri til rannsókna	
homeResearchToolsContent				Þeim sem leggja stund á stafræn hugvísindi stendur til boða ýmis verkfæri til að hjápa við greiningu og forvinnslu texta. Málbankinn býður upp á nokkra vefi þar sem hægt er að leita og greina málheildir (einkum Risamálheildina) og málvinnsluvef til að forvinna texta.	Þeim sem leggja stund á stafræn hugvísindi stendur til boða ýmis verkfæri til að hjápa við greiningu og forvinnslu texta. Málbankinn býður upp á nokkra vefi þar sem hægt er að leita og greina málheildir (einkum Risamálheildina) og málvinnsluvef til að forvinna texta.	
homeDictionariesAndListsTitle				Orðabækur og -listar	Orðabækur og -listar	
homeDictionariesAndListsContent				Orðabækur og orðalistar geta komið að góðum notum við þróun ýmissa lausna, til að mynda kennsluforrita. Í Málbankanum er m.a. að finna orðabækur í fórum Árnastofnunar og ýmsa orðalista sem settir voru saman í tengslum við máltækniáætlun stjórnvalda.	Orðabækur og orðalistar geta komið að góðum notum við þróun ýmissa lausna, til að mynda kennsluforrita. Í Málbankanum er m.a. að finna orðabækur í fórum Árnastofnunar og ýmsa orðalista sem settir voru saman í tengslum við máltækniáætlun stjórnvalda.	
homeTeachingMaterialTitle				Náms- og kennsluefni	Náms- og kennsluefni	
